alg,in-scale,num-ratings,field,value
ItemItem,10,15,MI-native,0.203079020204
ItemItem,10,15,NAttempted,212224.2
ItemItem,10,15,MI-81,0.210128447653
ItemItem,10,15,MI-2.ByUser,0.0152194083951
ItemItem,10,15,NRMSE.ByUser,0.199713567523
ItemItem,10,15,NMAE,0.174051162957
ItemItem,10,15,MI-20,0.209912077462
ItemItem,10,15,MI-native.ByUser,0.255789679137
ItemItem,10,15,NMAE.ByUser,0.163406868781
ItemItem,10,15,RMSE.ByUser,0.898711053854
ItemItem,10,15,RMSE.ByRating,1.07924709824
ItemItem,10,15,NUsers,6181.8
ItemItem,10,15,TestTime,2140.6
ItemItem,10,15,Coverage,1.0
ItemItem,10,15,nDCG,0.940135604853
ItemItem,10,15,MAE,0.783230233308
ItemItem,10,15,MI-5-corrected.ByUser,-1.77228090034
ItemItem,10,15,MI-2,0.0323888099291
ItemItem,10,15,MI-5,0.181907414455
ItemItem,10,15,MI-2-corrected.ByUser,-0.464880245378
ItemItem,10,15,BuildTime,14651.8
ItemItem,10,15,MI-10.ByUser,0.255789679137
ItemItem,10,15,MI-20.ByUser,0.396214617083
ItemItem,10,15,MI-5-corrected,0.181839401532
ItemItem,10,15,MI-10-corrected,0.202925991127
ItemItem,10,15,NGood,212224.2
ItemItem,10,15,MI-81.ByUser,0.399168263742
ItemItem,10,15,MAE.ByUser,0.735330909515
ItemItem,10,15,MI-81-corrected,0.208768189193
ItemItem,10,15,MI-10-corrected.ByUser,-4.06510720482
ItemItem,10,15,MI-2-corrected,0.0323718066983
ItemItem,10,15,NRMSE,0.239832688497
ItemItem,10,15,MI-20-corrected.ByUser,-8.7256788046
ItemItem,10,15,MI-20-corrected,0.209589016078
ItemItem,10,15,MI-10,0.203079020204
ItemItem,10,15,MI-5.ByUser,0.148117714756
ItemUserMean,10,15,MI-native-corrected,0.190141873035
ItemUserMean,10,15,MI-81-corrected.ByUser,-38.1867764287
ItemUserMean,10,15,MI-native,0.190294902112
ItemUserMean,10,15,NAttempted,212224.2
ItemUserMean,10,15,MI-81,0.201922714192
ItemUserMean,10,15,MI-2.ByUser,0.00184633745987
ItemUserMean,10,15,NRMSE.ByUser,0.193189270528
ItemUserMean,10,15,NMAE,0.168942383178
ItemUserMean,10,15,MI-20,0.201556764708
